TEC,TCTA,sequence,period_schedule
4074.0,167.0,"1,0,2,3,7,6,5,4","0,0,0;0,0,0;1,1,1;1,1,1;2,2,2;2,2,2;1,2,2;1,1,2"
3738.0,174.0,"1,0,7,6,2,3,5,4","0,0,0;0,0,0;1,1,1;1,1,2;1,2,2;1,2,2;1,1,1;0,1,1"
4230.0,164.0,"1,0,2,3,7,5,4,6","0,0,0;0,0,0;1,1,1;1,1,1;1,2,2;1,2,2;2,2,2;1,1,2"
3906.0,173.0,"1,0,2,3,7,5,6,4","0,0,1;0,0,0;1,1,1;1,1,1;2,2,2;1,1,2;1,2,2;1,1,1"
3264.0,178.0,"5,1,0,2,3,7,6,4","0,1,1;0,1,1;1,1,1;1,1,1;2,2,2;0,0,1;1,2,2;1,1,2"
3468.0,177.0,"5,1,0,2,3,7,4,6","0,1,1;0,1,1;1,1,1;1,1,1;1,2,2;0,0,1;2,2,2;1,1,2"
4398.0,162.0,"1,0,2,3,5,7,4,6","0,0,0;0,0,0;1,1,1;1,1,1;1,2,2;1,1,2;2,2,2;1,2,2"
3084.0,195.0,"5,1,0,2,7,3,4,6","0,1,1;0,1,1;1,1,1;1,1,2;1,1,2;0,0,1;1,2,2;1,1,1"
3180.0,186.0,"5,1,0,7,4,6,3,2","0,1,1;0,1,1;2,2,2;1,2,2;1,1,1;0,0,1;1,1,2;1,1,1"
