TEC,TCTA,sequence,period_schedule
4092.0,259.0,"5,0,2,1,4,3,6,8,7,9","0,0,0;1,1,1;0,1,1;1,2,2;1,1,2;0,0,0;1,2,2;2,2,2;2,2,2;2,2,2"
4062.0,260.0,"5,0,2,1,4,3,6,8,9,7","0,0,1;1,1,1;0,1,1;1,2,2;1,1,2;0,0,0;1,2,2;2,2,2;2,2,2;2,2,2"
4536.0,226.0,"0,5,2,3,1,8,4,7,6,9","0,0,0;1,1,1;0,0,1;1,1,1;1,2,2;0,0,0;2,2,2;2,2,2;1,1,2;2,2,2"
4584.0,223.0,"0,5,2,3,1,4,8,7,6,9","0,0,0;1,1,1;0,0,1;1,1,1;1,1,2;0,0,0;2,2,2;2,2,2;1,2,2;2,2,2"
4002.0,280.0,"5,0,2,1,8,4,7,3,9,6","0,0,1;1,1,1;0,1,1;2,2,2;1,2,2;0,0,0;2,2,2;2,2,2;1,1,2;2,2,2"
4098.0,258.0,"5,0,2,1,4,3,8,6,9,7","0,0,1;1,1,1;0,1,1;1,2,2;1,1,2;0,0,0;2,2,2;2,2,2;1,2,2;2,2,2"
4746.0,220.0,"0,5,2,3,6,1,4,8,7,9","0,0,0;1,1,1;0,0,1;1,1,1;1,1,2;0,0,0;1,1,1;2,2,2;1,2,2;2,2,2"
4530.0,229.0,"0,5,2,3,1,6,4,8,7,9","0,0,0;1,1,1;0,0,1;1,1,1;1,2,2;0,0,0;1,1,2;2,2,2;1,2,2;2,2,2"
4332.0,234.0,"5,0,2,3,1,6,8,4,9,7","0,0,1;1,1,1;0,1,1;1,1,1;1,2,2;0,0,0;1,1,2;2,2,2;1,1,2;2,2,2"
4050.0,271.0,"5,0,2,1,8,4,3,7,6,9","0,0,1;1,1,1;0,1,1;1,2,2;1,2,2;0,0,0;2,2,2;2,2,2;1,1,2;2,2,2"
4110.0,250.0,"5,0,2,1,3,6,4,8,9,7","0,0,1;1,1,1;0,1,1;1,1,2;1,2,2;0,0,0;1,1,2;2,2,2;2,2,2;2,2,2"
4266.0,237.0,"5,0,2,3,1,8,4,7,6,9","0,0,1;1,1,1;0,1,1;1,1,1;1,2,2;0,0,0;2,2,2;2,2,2;1,1,2;2,2,2"
4260.0,240.0,"5,0,2,3,1,6,4,8,7,9","0,0,1;1,1,1;0,1,1;1,1,1;1,2,2;0,0,0;1,1,2;2,2,2;1,2,2;2,2,2"
4116.0,245.0,"5,0,2,3,8,1,4,9,7,6","0,0,1;1,1,2;0,1,1;1,1,1;1,2,2;0,0,0;2,2,2;2,2,2;1,1,1;2,2,2"
4380.0,230.0,"0,2,3,1,6,5,8,4,7,9","0,0,0;1,1,1;0,0,1;1,1,1;1,2,2;1,1,2;1,1,2;2,2,2;1,2,2;2,2,2"
4182.0,243.0,"5,0,2,3,8,1,6,4,7,9","0,0,1;1,1,2;0,1,1;1,1,1;1,2,2;0,0,0;1,1,2;2,2,2;1,1,1;2,2,2"
