TEC,TCTA,sequence,period_schedule
5406.0,196.0,"5,4,3,7,2,1,0,8,6","1,1,1;1,1,1;1,1,1;0,0,0;0,0,0;0,0,0;1,2,2;0,0,1;1,1,2"
5094.0,199.0,"4,3,7,2,1,0,5,8,6","1,1,1;1,1,1;1,1,1;0,0,0;0,0,0;1,1,1;2,2,2;0,0,1;1,1,2"
4914.0,201.0,"4,3,7,2,1,0,8,5,6","1,1,1;1,1,1;1,1,1;0,0,0;0,0,0;1,2,2;2,2,2;0,0,1;1,1,2"
4416.0,227.0,"3,7,2,6,8,1,5,4,0","2,2,2;1,1,2;1,1,1;0,0,0;1,2,2;1,1,2;1,1,1;0,0,1;1,1,1"
5550.0,194.0,"6,4,3,7,2,1,0,5,8","1,1,1;1,1,1;1,1,1;0,0,0;0,0,0;1,1,1;0,0,0;0,0,1;1,1,2"
5532.0,195.0,"6,5,3,7,2,1,0,4,8","1,1,1;1,1,1;1,1,1;0,0,0;1,1,2;0,0,0;0,0,0;0,0,1;1,2,2"
4344.0,230.0,"7,3,2,6,8,1,5,4,0","2,2,2;1,1,2;1,1,1;0,0,1;1,2,2;1,1,2;1,1,1;0,0,1;1,1,1"
4584.0,219.0,"7,3,4,2,1,0,8,5,6","1,1,2;1,1,1;1,1,1;0,0,1;0,1,1;1,2,2;2,2,2;0,0,1;1,1,2"
5130.0,197.0,"3,5,7,2,1,0,6,8,4","1,1,1;1,1,1;1,1,1;0,0,0;1,2,2;0,0,0;1,1,1;0,0,1;1,1,2"
4290.0,243.0,"7,3,8,4,2,1,0,5,6","1,2,2;1,1,2;1,1,1;0,0,1;1,1,1;1,2,2;2,2,2;0,0,1;1,1,1"
5082.0,200.0,"3,4,7,2,1,0,6,8,5","1,1,1;1,1,1;1,1,1;0,0,0;0,0,0;2,2,2;1,1,1;0,0,1;1,1,2"
4668.0,205.0,"3,7,2,1,0,4,8,6,5","1,1,1;1,1,1;1,1,1;0,0,0;1,1,2;2,2,2;1,2,2;0,0,1;1,2,2"
