TEC,TCTA,sequence,period_schedule
2136.0,176.0,"4,3,1,0,2,5,7,6","1,1,1;1,1,1;1,1,1;0,1,1;0,1,1;1,1,2;1,2,2;1,2,2"
2316.0,171.0,"3,2,1,0,4,7,6,5","1,1,1;1,1,1;1,1,1;0,0,1;1,1,1;1,2,2;1,1,2;1,1,2"
2028.0,180.0,"1,0,4,2,3,6,5,7","1,1,1;1,1,1;1,1,1;1,1,2;1,1,1;1,2,2;1,2,2;2,2,2"
2100.0,179.0,"4,1,0,3,2,6,5,7","1,1,1;1,1,1;1,1,1;1,1,1;0,1,1;1,2,2;1,1,2;1,2,2"
2388.0,169.0,"3,4,2,1,0,7,6,5","1,1,1;1,1,1;1,1,1;0,0,1;0,1,1;1,1,2;1,1,1;1,1,1"
