TEC,TCTA,sequence,period_schedule
1554.0,228.0,"5,6,4,3,2,0,1","1,2,2;1,2,2;1,1,1;1,1,1;1,1,1;1,1,1;1,1,1"
1986.0,192.0,"1,0,2,3,4,6,5","0,1,1;0,0,1;1,1,1;1,1,1;1,1,1;1,2,2;1,1,2"
1566.0,209.0,"0,1,2,3,4,6,5","0,1,1;1,1,1;1,1,1;1,1,1;1,1,2;1,2,2;1,2,2"
2550.0,171.0,"3,6,1,0,2,5,4","0,1,1;0,0,1;1,1,1;0,0,0;1,1,1;1,1,1;0,0,1"
1782.0,195.0,"3,0,1,2,4,6,5","0,1,1;1,1,1;1,1,1;0,0,1;1,1,1;1,2,2;1,1,2"
2130.0,183.0,"3,6,0,1,2,5,4","0,1,1;1,1,1;1,1,1;0,0,0;1,1,1;1,1,1;0,0,1"
2250.0,180.0,"3,1,0,2,5,4,6","0,1,1;0,0,1;1,1,1;0,0,0;1,1,1;1,1,1;1,1,1"
