TEC,TCTA,sequence,period_schedule
4512.0,231.0,"7,8,0,1,3,2,6,5,4","1,1,1;1,1,1;1,2,2;1,1,2;2,2,2;2,2,2;1,2,2;0,0,1;0,1,1"
4602.0,224.0,"3,6,0,1,2,8,4,7,5","1,1,1;1,1,1;1,1,2;0,0,1;2,2,2;2,2,2;0,1,1;2,2,2;1,2,2"
4638.0,222.0,"3,6,0,1,2,7,8,5,4","1,1,1;1,1,1;1,1,2;0,0,1;2,2,2;2,2,2;0,1,1;1,1,2;1,2,2"
4350.0,242.0,"3,8,2,1,7,6,0,5,4","2,2,2;1,1,1;1,1,1;0,0,1;2,2,2;2,2,2;1,2,2;1,1,2;0,1,1"
4062.0,253.0,"7,8,2,3,6,0,1,5,4","2,2,2;2,2,2;1,1,1;1,1,2;2,2,2;2,2,2;1,2,2;0,0,1;0,1,1"
4698.0,213.0,"3,0,2,1,7,8,4,5,6","0,1,1;1,1,1;1,1,1;0,0,1;2,2,2;2,2,2;2,2,2;1,1,2;1,2,2"
4590.0,229.0,"7,0,2,1,3,6,8,5,4","0,1,1;1,1,1;1,1,1;1,2,2;2,2,2;2,2,2;1,2,2;0,0,0;2,2,2"
4278.0,245.0,"3,7,2,1,6,8,0,4,5","2,2,2;1,1,1;1,1,1;0,0,1;2,2,2;2,2,2;1,1,2;0,1,1;1,2,2"
6036.0,197.0,"5,7,3,0,2,1,6,8,4","0,1,1;1,1,1;1,1,1;0,0,1;2,2,2;0,0,0;1,1,2;0,0,0;1,2,2"
4392.0,232.0,"7,0,2,1,3,6,8,4,5","0,1,1;1,1,2;1,1,1;1,2,2;2,2,2;2,2,2;1,2,2;0,0,1;2,2,2"
4716.0,210.0,"3,0,2,1,7,6,8,4,5","0,1,1;1,1,1;1,1,1;0,0,1;2,2,2;2,2,2;1,2,2;1,1,2;1,2,2"
4092.0,251.0,"7,8,2,3,1,6,0,4,5","2,2,2;1,2,2;1,1,1;1,1,2;2,2,2;2,2,2;1,2,2;0,0,1;0,1,1"
5256.0,204.0,"7,3,0,2,1,6,8,5,4","0,1,1;1,1,1;1,1,1;0,0,1;2,2,2;2,2,2;1,1,2;0,0,0;1,2,2"
4668.0,214.0,"3,0,2,1,7,6,5,8,4","0,1,1;1,1,1;1,1,1;0,0,1;2,2,2;2,2,2;1,2,2;1,1,2;2,2,2"
5496.0,203.0,"5,3,0,2,1,7,6,8,4","0,1,1;1,1,1;1,1,1;0,0,1;2,2,2;0,0,0;1,2,2;1,1,2;1,2,2"
