TEC,TCTA,sequence,period_schedule
3456.0,240.0,"4,3,5,2,8,7,6,1,0","2,2,2;2,2,2;1,1,2;0,1,1;0,0,0;1,1,1;2,2,2;1,2,2;1,1,2"
3180.0,249.0,"3,6,4,2,8,1,0,5,7","2,2,2;1,2,2;1,1,2;0,1,1;1,1,1;2,2,2;1,1,1;2,2,2;1,1,2"
2988.0,274.0,"5,4,2,8,3,7,6,1,0","2,2,2;2,2,2;1,1,2;1,2,2;1,1,1;1,1,1;2,2,2;2,2,2;1,1,2"
3840.0,230.0,"4,8,3,5,2,7,6,1,0","2,2,2;2,2,2;1,1,2;0,1,1;0,0,0;1,1,1;1,2,2;1,2,2;0,0,1"
3846.0,228.0,"4,8,3,5,2,6,7,1,0","2,2,2;2,2,2;1,1,2;0,1,1;0,0,0;1,1,1;1,1,2;1,2,2;0,0,1"
3084.0,250.0,"3,4,2,8,1,0,5,6,7","2,2,2;1,2,2;1,1,2;0,1,1;1,1,1;2,2,2;2,2,2;2,2,2;1,1,2"
3378.0,243.0,"4,3,5,2,8,1,0,7,6","2,2,2;1,2,2;1,1,2;0,1,1;0,0,1;1,1,1;2,2,2;2,2,2;1,1,2"
3240.0,248.0,"3,5,2,8,1,0,4,7,6","2,2,2;1,2,2;1,1,2;0,1,1;2,2,2;1,1,1;2,2,2;2,2,2;1,1,2"
2970.0,277.0,"5,4,2,3,6,8,7,1,0","2,2,2;2,2,2;1,1,2;1,2,2;1,1,1;1,1,1;1,2,2;2,2,2;2,2,2"
3498.0,236.0,"4,3,6,5,2,8,7,1,0","2,2,2;2,2,2;1,1,2;0,1,1;0,0,1;1,1,1;1,1,1;1,2,2;1,1,2"
