TEC,TCTA,sequence,period_schedule
4038.0,167.0,"3,1,2,0,6,4,5","0,1,1;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;0,1,1"
3966.0,169.0,"3,1,2,0,6,5,4","0,1,1;0,0,0;0,0,0;0,0,0;1,1,1;0,1,1;0,1,1"
4242.0,166.0,"0,1,2,3,6,4,5","0,0,0;0,0,0;0,0,0;0,1,1;1,1,1;1,1,1;1,1,1"
3546.0,196.0,"4,5,1,2,6,0,3","0,1,1;0,0,0;0,0,1;1,1,1;0,0,0;0,0,0;0,1,1"
3726.0,186.0,"3,1,2,0,4,5,6","0,0,1;0,0,0;0,0,0;0,0,0;0,1,1;1,1,1;1,1,2"
3840.0,176.0,"3,1,2,0,4,6,5","0,0,1;0,0,0;0,0,0;0,0,0;0,1,1;1,1,2;1,1,1"
3420.0,208.0,"4,5,1,2,0,6,3","0,1,1;0,0,0;0,0,1;0,1,2;0,0,0;0,0,0;0,1,1"
