TEC,TCTA,sequence,period_schedule
1686.0,233.0,"2,6,4,5,3,0,1","1,1,1;1,1,1;0,1,1;1,1,1;1,1,1;1,1,1;1,1,1"
1734.0,218.0,"1,0,3,2,5,6,4","1,1,1;0,1,1;1,1,1;1,1,1;1,1,1;1,1,1;1,1,1"
2406.0,185.0,"3,0,1,2,6,5,4","0,0,1;0,1,1;0,1,1;0,0,0;1,1,1;1,1,1;1,1,1"
2010.0,197.0,"0,1,3,2,4,5,6","0,0,1;0,1,1;1,1,1;1,1,1;1,1,1;1,1,1;1,1,1"
2250.0,194.0,"5,0,1,3,2,6,4","0,0,1;0,1,1;1,1,1;1,1,1;1,1,1;0,0,0;1,1,1"
3126.0,184.0,"6,4,5,1,0,3,2","1,1,1;1,1,1;1,1,1;1,1,1;0,0,1;0,1,1;0,0,0"
1902.0,215.0,"5,1,0,3,2,4,6","1,1,1;0,1,1;1,1,1;1,1,1;1,1,1;0,0,1;1,1,1"
3150.0,178.0,"6,5,4,1,0,3,2","1,1,1;0,1,1;1,1,1;1,1,1;0,1,1;0,0,1;0,0,0"
2382.0,188.0,"3,0,1,5,2,6,4","0,0,1;0,1,1;1,1,1;0,0,0;1,1,1;1,1,1;1,1,1"
