TEC,TCTA,sequence,period_schedule
4230.0,200.0,"2,5,1,3,0,6,4,7","1,1,1;0,1,1;0,0,0;1,1,1;1,2,2;0,0,1;1,1,2;2,2,2"
4020.0,205.0,"2,5,1,0,6,4,7,3","1,1,1;0,1,1;0,0,0;2,2,2;1,1,2;0,0,1;1,1,1;1,2,2"
4200.0,203.0,"2,5,4,3,0,1,6,7","1,1,1;1,1,2;0,0,0;1,1,1;0,1,1;0,0,1;1,2,2;2,2,2"
