TEC,TCTA,sequence,period_schedule
3078.0,245.0,"0,1,9,3,2,5,6,4,8,7","1,1,1;1,1,1;1,2,2;1,1,2;2,2,2;1,2,2;2,2,2;2,2,2;2,2,2;1,1,1"
2790.0,264.0,"1,0,5,7,8,3,2,9,6,4","1,1,1;1,1,1;2,2,2;2,2,2;2,2,2;1,1,2;2,2,2;1,1,2;1,2,2;2,2,2"
2646.0,312.0,"4,0,5,7,8,3,2,9,6,1","1,1,1;2,2,2;2,2,2;2,2,2;1,1,1;1,1,2;2,2,2;1,2,2;2,2,2;2,2,2"
3438.0,237.0,"8,0,1,9,3,2,5,6,4,7","1,1,1;1,1,1;1,2,2;1,1,2;2,2,2;1,2,2;2,2,2;2,2,2;0,0,1;1,1,1"
2922.0,246.0,"0,1,3,2,9,5,6,8,4,7","1,1,1;1,1,1;1,2,2;1,1,2;2,2,2;2,2,2;2,2,2;2,2,2;2,2,2;1,2,2"
3852.0,233.0,"2,8,7,0,1,9,3,5,6,4","1,1,1;1,1,1;0,0,0;1,1,2;2,2,2;1,2,2;2,2,2;0,1,1;0,0,1;1,1,1"
2730.0,288.0,"0,4,3,1,8,6,2,5,9,7","1,1,1;1,2,2;2,2,2;1,1,2;1,1,1;2,2,2;2,2,2;2,2,2;1,2,2;2,2,2"
2706.0,293.0,"4,8,7,0,1,5,3,2,9,6","1,1,2;1,2,2;2,2,2;2,2,2;1,1,1;2,2,2;2,2,2;1,1,1;1,1,1;2,2,2"
2826.0,249.0,"0,1,3,2,6,8,4,5,7,9","1,1,1;1,1,1;1,2,2;1,1,2;2,2,2;2,2,2;2,2,2;2,2,2;2,2,2;2,2,2"
3234.0,242.0,"2,0,1,9,3,8,4,6,5,7","1,1,1;1,1,1;0,0,1;1,1,2;1,2,2;2,2,2;2,2,2;2,2,2;1,2,2;1,1,1"
3702.0,234.0,"2,8,0,1,9,3,5,6,4,7","1,1,1;1,1,1;0,0,0;1,1,2;2,2,2;1,2,2;2,2,2;2,2,2;0,0,1;1,1,1"
3300.0,241.0,"8,0,1,3,2,9,4,6,5,7","1,1,1;1,1,1;1,2,2;1,1,2;1,2,2;2,2,2;2,2,2;2,2,2;0,0,1;1,2,2"
3108.0,243.0,"2,0,1,3,8,4,6,5,9,7","1,1,1;1,1,1;0,0,1;1,1,2;1,2,2;2,2,2;2,2,2;2,2,2;1,2,2;2,2,2"
2838.0,248.0,"0,1,3,2,8,6,4,5,9,7","1,1,1;1,1,1;1,2,2;1,1,2;2,2,2;2,2,2;2,2,2;2,2,2;1,2,2;2,2,2"
2742.0,275.0,"0,4,3,1,2,6,8,5,7,9","1,1,1;1,2,2;1,2,2;1,1,2;1,1,1;2,2,2;2,2,2;2,2,2;2,2,2;2,2,2"
2736.0,280.0,"0,3,1,6,2,5,9,8,7,4","1,1,1;1,2,2;2,2,2;1,1,2;2,2,2;2,2,2;1,2,2;2,2,2;2,2,2;2,2,2"
3312.0,238.0,"8,0,1,3,2,5,6,4,7,9","1,1,1;1,1,1;1,2,2;1,1,2;2,2,2;1,2,2;2,2,2;2,2,2;0,0,1;2,2,2"
2712.0,289.0,"0,7,3,1,8,6,2,5,9,4","1,1,1;1,2,2;2,2,2;1,1,2;2,2,2;2,2,2;2,2,2;1,1,1;1,2,2;2,2,2"
3594.0,235.0,"2,8,0,1,3,4,5,6,7,9","1,1,1;1,1,1;0,0,0;1,1,2;1,2,2;1,2,2;2,2,2;2,2,2;0,0,1;2,2,2"
2880.0,247.0,"0,1,3,2,7,5,4,8,9,6","1,1,1;1,1,1;1,2,2;1,1,2;2,2,2;2,2,2;2,2,2;1,2,2;2,2,2;2,2,2"
3522.0,236.0,"2,8,0,1,3,4,7,5,6,9","1,1,1;1,1,1;0,0,0;1,1,2;1,2,2;2,2,2;2,2,2;1,2,2;0,0,1;2,2,2"
2676.0,310.0,"0,7,5,4,8,3,1,2,9,6","1,1,1;2,2,2;2,2,2;2,2,2;1,1,2;1,1,2;2,2,2;1,1,1;1,2,2;2,2,2"
