TEC,TCTA,sequence,period_schedule
4362.0,222.0,"3,2,0,1,5,6,9,4,7,8","1,1,1;1,1,1;0,0,1;0,0,0;2,2,2;1,1,2;1,2,2;2,2,2;2,2,2;2,2,2"
4146.0,227.0,"2,3,0,1,5,6,9,4,7,8","1,1,1;1,1,1;0,0,1;0,1,1;2,2,2;1,1,2;1,2,2;2,2,2;2,2,2;2,2,2"
5070.0,215.0,"3,7,2,0,1,5,6,8,9,4","1,1,1;1,1,1;0,0,1;0,0,0;2,2,2;1,1,2;1,2,2;0,0,0;2,2,2;2,2,2"
4236.0,225.0,"2,3,0,1,4,5,6,9,8,7","1,1,1;1,1,1;0,0,1;0,1,1;1,1,1;1,1,2;1,2,2;2,2,2;2,2,2;2,2,2"
4866.0,218.0,"8,3,2,0,1,5,6,9,4,7","1,1,1;1,1,1;0,0,1;0,0,0;2,2,2;1,1,2;1,2,2;2,2,2;0,0,0;2,2,2"
5664.0,209.0,"8,3,7,2,0,1,4,5,6,9","1,1,1;1,1,1;0,0,1;0,0,0;1,1,1;1,1,2;1,2,2;0,0,0;0,0,0;2,2,2"
5574.0,211.0,"8,3,7,2,0,1,5,6,9,4","1,1,1;1,1,1;0,0,1;0,0,0;2,2,2;1,1,2;1,2,2;0,0,0;0,0,0;2,2,2"
4452.0,220.0,"3,2,0,1,4,5,6,9,8,7","1,1,1;1,1,1;0,0,1;0,0,0;1,1,1;1,1,2;1,2,2;2,2,2;2,2,2;2,2,2"
4956.0,216.0,"8,3,2,0,1,4,5,6,9,7","1,1,1;1,1,1;0,0,1;0,0,0;1,1,1;1,1,2;1,2,2;2,2,2;0,0,0;2,2,2"
5160.0,213.0,"3,7,2,0,1,4,5,6,8,9","1,1,1;1,1,1;0,0,1;0,0,0;1,1,1;1,1,2;1,2,2;0,0,0;2,2,2;2,2,2"
3924.0,264.0,"2,0,1,4,5,6,3,9,7,8","1,1,1;1,1,1;0,0,1;2,2,2;1,1,1;1,1,2;1,2,2;2,2,2;2,2,2;2,2,2"
