TEC,TCTA,sequence,period_schedule
4452.0,239.0,"8,4,2,3,0,1,6,7,5","1,2,2;1,2,2;0,1,1;1,1,2;0,0,1;2,2,2;2,2,2;2,2,2;0,0,0"
4194.0,255.0,"4,1,7,8,0,3,2,6,5","1,1,2;0,0,1;2,2,2;1,2,2;0,0,0;2,2,2;2,2,2;0,1,1;1,1,2"
4380.0,240.0,"4,8,3,2,0,1,6,7,5","1,2,2;1,2,2;1,1,2;0,1,1;0,0,0;2,2,2;2,2,2;2,2,2;0,0,1"
4080.0,257.0,"4,1,8,3,0,7,2,6,5","1,2,2;0,0,1;2,2,2;1,1,2;0,0,0;2,2,2;2,2,2;1,2,2;0,1,1"
4470.0,237.0,"4,7,2,3,0,1,6,8,5","1,2,2;1,2,2;0,1,1;1,1,1;0,0,0;2,2,2;2,2,2;0,0,1;2,2,2"
4770.0,217.0,"8,3,2,1,0,4,7,6,5","1,1,2;1,1,1;0,1,1;0,0,0;1,2,2;2,2,2;2,2,2;2,2,2;0,0,0"
4746.0,218.0,"8,3,2,1,0,4,6,7,5","1,1,2;1,1,1;0,1,1;0,0,1;1,2,2;2,2,2;2,2,2;2,2,2;0,0,0"
4734.0,221.0,"8,3,2,1,0,7,4,6,5","1,1,2;1,1,1;0,1,1;0,0,1;2,2,2;2,2,2;2,2,2;1,2,2;0,0,0"
4686.0,224.0,"8,3,2,0,1,5,6,7,4","1,1,2;1,2,2;0,1,1;0,0,1;2,2,2;1,2,2;2,2,2;2,2,2;0,0,0"
4974.0,216.0,"8,3,2,1,0,6,5,7,4","1,1,2;1,1,1;0,1,1;0,0,0;2,2,2;2,2,2;1,2,2;2,2,2;0,0,0"
4224.0,249.0,"4,1,8,3,0,2,7,6,5","1,2,2;0,0,1;1,2,2;1,1,2;0,0,0;2,2,2;2,2,2;2,2,2;0,1,1"
